"Path","Role","Type","Count"
"attacks\1_visual_perception_attacks\M07_notification_injection\attack_data_enhanced_20260310_215949_v2.json","raw_or_auxiliary","array","143"
"attacks\1_visual_perception_attacks\M07_notification_injection\attack_data_enhanced_20260310_215949_v2_simpletest.json","active_attack_simpletest","array","20"
"attacks\2_environment_content_injection\M08_screen_text_injection\M08-diverse-attack.json","raw_or_auxiliary","array","200"
"attacks\2_environment_content_injection\M08_screen_text_injection\M08-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\2_environment_content_injection\M09_view_tree_interference\M09-diverse-attack.json","raw_or_auxiliary","array","200"
"attacks\2_environment_content_injection\M09_view_tree_interference\M09-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\3_direct_malicious_commands\M10_mobile_prompt_injection\M10-diverse-attack.json","raw_or_auxiliary","array","100"
"attacks\3_direct_malicious_commands\M10_mobile_prompt_injection\M10-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\3_direct_malicious_commands\M10_mobile_prompt_injection\M10-diverse-attack-v2.json","raw_or_auxiliary","array","100"
"attacks\3_direct_malicious_commands\M10_mobile_prompt_injection\M10-diverse-attack-v2_simpletest.json","active_attack_simpletest","array","20"
"attacks\3_direct_malicious_commands\M11_privacy_risk_operations\M11-100-test1\M11-diverse-attack.json","raw_or_auxiliary","array","200"
"attacks\3_direct_malicious_commands\M11_privacy_risk_operations\M11-100-test1\M11-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\3_direct_malicious_commands\M12_harmful_content_generation\M12-workplace-v4.json","raw_or_auxiliary","array","200"
"attacks\3_direct_malicious_commands\M12_harmful_content_generation\M12-workplace-v4_new.json","raw_or_auxiliary","array","200"
"attacks\3_direct_malicious_commands\M12_harmful_content_generation\M12-workplace-v4_simpletest.json","active_attack_simpletest","array","20"
"attacks\4_llm_reasoning_attacks\M15_malicious_instruction_exploitation\M15-diverse-attack.json","raw_or_auxiliary","array","200"
"attacks\4_llm_reasoning_attacks\M15_malicious_instruction_exploitation\M15-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\4_llm_reasoning_attacks\M16_glitch_token_attack\M16_attack_data_200.jsonl","exported_jsonl_subset","jsonl","200"
"attacks\4_llm_reasoning_attacks\M16_glitch_token_attack\M16-diverse-attack.json","raw_or_auxiliary","array","100"
"attacks\4_llm_reasoning_attacks\M16_glitch_token_attack\M16-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\4_llm_reasoning_attacks\M16_glitch_token_attack\M16-diverse-attack-v2.json","raw_or_auxiliary","array","100"
"attacks\4_llm_reasoning_attacks\M16_glitch_token_attack\M16-diverse-attack-v2_simpletest.json","active_attack_simpletest","array","20"
"attacks\5_system_exploitation\M13_deeplink_forgery\M13-diverse-attack.json","raw_or_auxiliary","array","200"
"attacks\5_system_exploitation\M13_deeplink_forgery\M13-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\5_system_exploitation\M20_notification_overlay_attack\M20-diverse-attack-v2.json","raw_or_auxiliary","array","100"
"attacks\5_system_exploitation\M20_notification_overlay_attack\M20-diverse-attack-v2_simpletest.json","active_attack_simpletest","array","20"
"attacks\5_system_exploitation\M20_notification_overlay_attack\M20-diverse-attack-v2-enhanced.json","raw_or_auxiliary","array","100"
"attacks\5_system_exploitation\M20_notification_overlay_attack\M20-diverse-attack-v2-enhanced_simpletest.json","active_attack_simpletest","array","20"
"attacks\5_system_exploitation\M21_background_attack\M21-diverse-attack.json","raw_or_auxiliary","array","100"
"attacks\5_system_exploitation\M21_background_attack\M21-diverse-attack_simpletest.json","active_attack_simpletest","array","20"
"attacks\false_positive\M07_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M08_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M09_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M10_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M11_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M12_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M15_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M16_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M20_false_positive.json","full_false_positive","array","50"
"attacks\false_positive\M21_false_positive.json","full_false_positive","array","50"
"attacks\false_positive_simple\M07_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M08_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M09_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M10_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M11_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M12_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M15_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M16_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M20_false_positive.json","active_false_positive_simple","array","20"
"attacks\false_positive_simple\M21_false_positive.json","active_false_positive_simple","array","20"
